owner_org,d_fiscal_year,total,total_constant_2019_dollars
cer-rec,2017-2018,58176.76,59604.06
cer-rec,2018-2019,73073.24,74007.00
dfatd-maecd,2021-2022,121471.42,12610.47
dnd-mdn,2017-2018,317353.97,326794.05
ec,2018-2019,86231.25,87545.67
nrc-cnrc,2017-2018,33877.98,34887.61
nrcan-rncan,2017-2018,39035.85,40419.45
nrcan-rncan,2018-2019,24973.00,25191.46
nrcan-rncan,2020-2021,79450.01,77329.46
nrcan-rncan,2021-2022,79796.33,21358.22
pc,2018-2019,18074.35,18239.36
pwgsc-tpsgc,2017-2018,933279.22,958296.25
pwgsc-tpsgc,2018-2019,881809.05,893064.34
pwgsc-tpsgc,2019-2020,943402.50,941439.42
pwgsc-tpsgc,2020-2021,759090.19,743148.63
pwgsc-tpsgc,2021-2022,1246581.21,926423.31
