d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,94288.70,97178.58
it_consulting_services,2018-2019,50832.23,51761.39
it_consulting_services,2019-2020,50971.50,50562.44
it_consulting_services,2020-2021,50832.23,48462.15
it_consulting_services,2021-2022,50832.23,47566.82
