owner_org,overall_total
dnd-mdn,580108909.10
rcmp-grc,366523593.34
pwgsc-tpsgc,171395975.85
cbsa-asfc,122218710.25
dfatd-maecd,121481993.96
phac-aspc,114506286.25
csc-scc,87948857.22
esdc-edsc,87428036.10
dfo-mpo,47213733.83
cic,46414535.56
ssc-spc,26076673.72
aafc-aac,23281756.51
hc-sc,23120383.92
cas-satj,22520345.77
nrcan-rncan,21051882.71
nrc-cnrc,19886692.07
tc,19472316.45
jus,16299713.15
pco-bcp,16220853.55
ec,15560727.22
pc,14792376.19
ic,13888031.58
csa-asc,13735792.51
cra-arc,9497819.04
cfia-acia,8056393.79
vac-acc,7667460.56
statcan,7596503.91
irb-cisr,7177702.13
ppsc-sppc,5041587.64
lac-bac,4700253.65
pch,4481885.11
tbs-sct,2966961.18
nbc-ccbn,2852957.00
cnsc-ccsn,2756571.84
isc-sac,2437273.26
cihr-irsc,1919767.67
aandc-aadnc,1904911.79
osfi-bsif,1580266.11
infc,1514884.89
ps-sp,1044750.46
elections,1008331.96
ced-dec,758998.66
cer-rec,582697.56
fintrac-canafe,563299.69
pbc-clcc,491899.75
nserc-crsng,389408.48
feddevontario,190222.66
csps-efpc,167155.60
wage,130633.87
atssc-scdata,104710.65
ocol-clo,103680.70
crtc,92363.39
cta-otc,56178.71
psc-cfp,53706.59
opc-cpvp,37984.45
vrab-tacra,35319.78
oic-ci,30009.79
oag-bvg,29945.00
acoa-apeca,26834.31
cgc-ccg,18166.68
iic-iac,16650.00
iaac-aeic,15468.34
mgerc-ceegm,15211.71
cics-scic,14487.96
oci-bec,12653.14
ocl-cal,11302.82
