owner_org,overall_total
dnd-mdn,852800838.86
rcmp-grc,449759097.61
pwgsc-tpsgc,197691641.47
cbsa-asfc,136179934.50
esdc-edsc,132670651.71
phac-aspc,132296572.07
dfatd-maecd,128226189.28
csc-scc,109810171.32
cic,85064028.96
dfo-mpo,60992707.35
irb-cisr,38200871.94
hc-sc,31364307.54
cas-satj,29545489.54
aafc-aac,27948267.02
nrcan-rncan,25878075.52
nrc-cnrc,24767946.76
tc,23797447.89
ec,21155910.74
jus,19807248.13
pco-bcp,19636997.20
pc,17900513.58
ic,17098586.05
ssc-spc,16565599.43
csa-asc,14197704.74
cfia-acia,11450565.74
vac-acc,10127137.14
statcan,9133368.25
cra-arc,7297973.97
lac-bac,6592617.33
ppsc-sppc,6167419.46
pch,5650702.24
isc-sac,4370687.59
tbs-sct,3725871.50
nbc-ccbn,3448487.00
cnsc-ccsn,3040504.25
osfi-bsif,2381667.10
cihr-irsc,2214880.52
aandc-aadnc,2050931.41
infc,1942620.44
elections,1080840.36
ps-sp,1073879.79
ced-dec,1034889.63
cer-rec,582697.56
fintrac-canafe,563299.69
nserc-crsng,549755.84
pbc-clcc,507066.26
cta-otc,347136.70
nsira-ossnr,289430.07
feddevontario,244178.35
csps-efpc,181527.48
crtc,149682.79
wage,145522.35
atssc-scdata,135220.65
ocol-clo,132889.50
iic-iac,120539.62
psc-cfp,53706.59
vrab-tacra,48641.09
fin,39550.00
opc-cpvp,37984.45
oic-ci,30009.79
oag-bvg,29945.00
acoa-apeca,26834.31
cgc-ccg,18166.68
ocl-cal,17748.96
iaac-aeic,15468.34
mgerc-ceegm,15211.71
cics-scic,14487.96
prairiescan,11025.00
sirc-csars,9612.68
