owner_org,overall_total
dnd-mdn,391058475.96
rcmp-grc,290449434.49
pwgsc-tpsgc,140754619.32
dfatd-maecd,113835342.26
cbsa-asfc,102226558.19
csc-scc,70901378.36
esdc-edsc,48512246.91
phac-aspc,38401076.22
dfo-mpo,35765388.56
cic,27648782.63
ssc-spc,19617999.3
aafc-aac,18875380.32
cas-satj,17993664.47
nrcan-rncan,16511521.55
hc-sc,16430772.98
tc,15716825.5
nrc-cnrc,15178943.78
pco-bcp,13326726.52
jus,12853375.65
ec,12270636.14
pc,11437841.4
ic,11024301.28
csa-asc,9427419.75
cfia-acia,6276147.07
cra-arc,6132767.42
statcan,6005815.49
vac-acc,5666738.49
irb-cisr,4532239.28
pch,3962985.89
ppsc-sppc,3852844.24
lac-bac,2632901.71
cnsc-ccsn,2346649.83
nbc-ccbn,2257427
tbs-sct,2240092.21
aandc-aadnc,1754360.34
cihr-irsc,1635941.47
infc,1181323.46
osfi-bsif,1002385.53
ps-sp,924169.84
elections,918082.45
isc-sac,889200.9
cer-rec,582697.56
fintrac-canafe,563299.69
ced-dec,525043.45
pbc-clcc,488587.74
nserc-crsng,256011.72
feddevontario,138564.3
csps-efpc,134708.85
wage,114827.35
ocol-clo,103680.7
crtc,92363.39
atssc-scdata,91489.65
psc-cfp,53706.59
opc-cpvp,37984.45
vrab-tacra,35319.78
cgc-ccg,18166.68
oic-ci,16799.74
iaac-aeic,15468.34
mgerc-ceegm,15211.71
cics-scic,14487.96
oag-bvg,12995
oci-bec,12653.14
ocl-cal,4856.68
