d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,935163513.16
MAGELLAN AEROSPACE,38056000.87
GARDA CANADA SECURITY,31131937.09
GARDA SECURITY GROUP,21272261.12
G4S SECURITY SERVICES,20436231.98
PALADIN GROUP,18593037.08
JANKEL TACTICAL SYSTEMS,14583528
HFI PYROTECHNICS,13909232.49
LLOYD LIBKE LAW ENFORCEMENT SALES,9596447.44
OLIN,8718902.9
SEAWATCH,8485012.66
LE CORPS CANADIEN DES,7736053.43
TTC GP AND NOTRA JOINT VENTURE,7500000
ULTRA ELECTRONICS,5757218.98
CHUBB EDWARDS,5618147.44
SNC LAVALIN,4249975.1
SIEMENS,4091615.88
TYCO INTEGRATED FIRE SECURITY,3970411.32
IBM CANADA,3540105.52
NEPTUNE SECURITY SERVICES,2950610.75
DALHOUSIE UNIVERSITY,2940328.77
SUMMIT CANADA DISTRIBUTORS,2608174.25
GREATER TORONTO AIRPORT AUTHORITY,1380707.4
RAMPART INTERNATIONAL,1037279.96
UNITED STATES DEPARTMENT OF THE AIR FORCE,1034821.93
MOBILE RESOURCE GROUP,793704.81
ADGA GROUP,779847.91
ACME FUTURE SECURITY CONTROLS,509470.72
M D CHARLTON,505369.61
GENESIS INTEGRATION,361705.83
HONEYWELL,350380.7
TERAMACH TECHNOLOGIES,320893.99
VISIONTEC,295758.24
TPG TECHNOLOGY CONSULTANTS,288203.12
THE MASHA KRUPP TRANSLATION GROUP,219971.22
NOTRA,217211
FELIX TECHNOLOGY,193780.98
UNISOURCE,170636.3
RHEINMETALL,129780
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,118680.7
TRM TECHNOLOGIES,105456.59
ALTIS HUMAN RESOURCES,103123.8
TOROMONT,100979.88
AV TECH,99661.29
9275 0181 QUEBEC,97352.79
ADVANCED BUSINESS INTERIORS,96687.11
WESCO DISTRIBUTION CANADA,94196.8
TROY LIFE FIRE SAFETY,90622.85
DELCO AUTOMATION,86828.5
DSS MARINE,82267.5
INSA,65878.97
BAE SYSTEMS,53495.26
SCALAR DECISIONS,51484.07
EXTRAVISION VIDEO TECHNOLOGIES,38197.24
AINSWORTH,36957.89
ACCESS 2 NETWORKS,29651.22
GOLDER ASSOCIATES,25782
HOULE ELECTRIC,25777.5
RAYTHEON,25089.61
SUN LIFE ASSURANCE COMPANY,24835.63
JOHNSON CONTROLS CANADA,23940
INTEGRA NETWORKS,23059.5
MAXSYS STAFFING AND CONSULTING,21559.33
BROOKFIELD ASSET MANAGEMENT,21344.18
CUMMINS CANADA,20352
CDW CANADA,18191.31
MORPHO CANADA,16192.9
STANTEC,14989.45
TESTFORCE SYSTEMS,12958.05
CANON,12829.17
UNIVERSITY OF BRITISH COLUMBIA,12768.98
CORADIX TECHNOLOGY CONSULTING,12497.8
TEKNION,12287.33
CANADIAN LEASEBACK,12216.2
TELEDYNE,11999.15
AON REED STENHOUSE,11300
STONEWORKS TECHNOLOGIES,5430.14
FSC,4856.68
VALCOM CONSULTING,1276.25
