d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,154250.73
11_defence,2019-2020,129829.25
3_information_technology,2017-2018,36107.99
5_transportation_and_logistics,2017-2018,1484275.38
5_transportation_and_logistics,2018-2019,1100666.40
5_transportation_and_logistics,2019-2020,1834907.96
5_transportation_and_logistics,2020-2021,2561296.43
6_industrial_products_and_services,2017-2018,32540.32
6_industrial_products_and_services,2018-2019,28890.92
6_industrial_products_and_services,2019-2020,17246.25
6_industrial_products_and_services,2020-2021,15729.59
