d_vendor_name,overall_total
BELL CANADA,3266455.996100714
DELOITTE AND TOUCHE,544754.0111711712
MASHA KRUPP TRANSLATION GROUP,404952.61
NORTHERN MICRO,283221.01
INFO TECH RESEARCH GROUP,251030.33898630136
CARAHSOFT TECHNOLOGY,228968.12931506848
GARTNER,227007.12270341208
ERNST YOUNG,214049.58000000002
GOSS GILROY,191535
R R INTERNATIONAL TRANSLATION,190330.62328703707
LANGUAGE STUDIO THE,160991
FERENCE COMPANY CONSULTING,149725
"NATIONS TRANSLATION GROUP",148050.92155864197
CANADIAN CORPS OF COMMISSIONAIRES,138564.3
SAMSON ASSOCIATES CPA CONSULTING,122328.86054421769
BP M GOVERNMENT IM IT,99616.28
AERIC,95068.49315068494
ENTERPRISE RENT A CAR CANADA COMPAN,83863.39
RYERSON UNIVERSITY,83329.73
COPEM CONSULTING,75472.14
TETRAD COMPUTER APPLICATIONS,75067.04234972678
EQUIFAX CANADA,73028.70811131387
EDGAR,72453.20000000001
DRAKE INTERNATIONAL,66913.79999999999
ENTERPRISE RENT A CAR CANADA COMPANY,63054
HR ASSOCIATES,60613.19999999999
EVENT SOURCE,56500
RED TREE PRODUCTIONS,56500
STORAGEVAULT CANADA,56500
AILEEN C MURRAY,56274
MEGALEXIS COMMUNICATIONS,50888.86210670314
ECOLE DE LANGUES ABCE,50095.009090909094
ENDLESS FILMS,50082.729999999996
ACCURATE DESIGN COMMUNICATION,49858.990000000005
SAMSON ASSOCIATES CONSULTING,48166.25
ECOLE DE LANGUES LA CITE,48039.755263157895
EUROMONITOR INTERNATIONAL,46149.340000000004
MCSWEENEY ASSOCIATES CONSULTING,45200
BLOOMBERG,42516.64158322057
AUGUSTE SOLUTIONS ASSOCIATES,39100
WEB DRIVE CANADA,38784.308904109595
GRAYBRIDGE INTERNATIONAL CONSULTING,35174.6
GLOBAL ADVANTAGE CONSULTING GROUP,33900
ABI ADVANCED BUSINESS INTERIORS,33781.92
INTERNATIONAL DATA,33588.119999999995
KNOWLEDGE CIRCLE LEARNING SERVICES,32988.83
LINKEDIN IRELAND UNLIMITED COMPANY,31865.999999999996
PUBLIC POLICY FORUM,30179.26829268293
ROYAL MOVING STORAGE OTTAWA,27007
BRENDA BARKER SCOTT CONSULTING,25000
TARA VINODRAI,24973
DEEP CENTRE,24860
GCSTRATEGIES,24860
BRC BUSINESS ENTERPRISES,24724.309999999998
IVEY SCHOOL OF BUSINESS,24500.000000000004
HUMANSCALE CANADA,24230.97
PILOT HILL,24069
INNOVATION CENTRE AT BAYVIEW YARDS,23692.47
CALYTERA SOFTWARE,23636.9
NOVEXCO,21949.4
CONFERENCE BOARD OF CANADA THE,21849.31506849315
TOTEM OFFISOURCE,21814.664476190475
INSIGHTS LEARNING DEVELOPMENT,21686.850000000002
THOMSON REUTERS CANADA,21546.84
ERGO INDUSTRIAL SEATING SYSTEMS,21061.05
LANGUAGE RESEARCH DEVELOPMENT,18000
MI KMAQ OFFICE FURNITURE INTERIOR,17630.260000000002
CROWE,16043.753164383563
ECOLE DE LANGUES EAGLE,14844.059405940594
ACT ONE INTERNATIONAL,14000.7
CEGEP MARIE VICTORIN,13354.06
MARTIN LABELLE,12960
MARS DISCOVERY DISTRICT,12220.949999999999
NEWFOUND RECRUITING,12076.355329512895
POI BUSINESS INTERIORS,11855.220000000001
WORKPLACE SAFETY PREVENTION,11548.6
RECORDXPRESS,11300
BURKE CADER MEDIA STRATEGIES,10898.849999999999
HYPERTEC,10588.5
IRON MOUNTAIN CANADA,10184
LEAN AGILITY,10158.7
BENDER MAINTENANCE REPAIRS,9356.4
IBISWORLD,9102.634520547945
SYSTEMSCOPE,4631.15234167894
HEARTZAP SERVICES,3552.5266849879768
CISION CANADA,3501.6375313059034
JOHN CORMIER LORRAINE CORMIER,3312.0387596899227
IBM CANADA,38.85193989071038
ALLANTE AIRPORT LIMOUSINE,0
