d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,5166247.49,5320326.47
1_facilities_and_construction,2018-2019,8608661.41,8766159.97
1_facilities_and_construction,2019-2020,7873489.35,7766110.12
1_facilities_and_construction,2020-2021,4690741.03,4448676.44
1_facilities_and_construction,2021-2022,2721957.87,2543484.88
1_facilities_and_construction,2022-2023,133574.77,120653.32
2_professional_services,2017-2018,9195872.28,9480126.60
2_professional_services,2018-2019,9195872.28,9372094.09
2_professional_services,2022-2023,921978.23,820739.09
5_transportation_and_logistics,2017-2018,1274857.80,1313832.28
