normalized_vendor_name,original_vendor_name
MCGILL UNIVERSITY,MCGILL UNIVERSITY
MCGILL UNIVERSITY,THE RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTER
MCGILL UNIVERSITY,oyal Institution for the Advancement of Learning - McGill University
MCGILL UNIVERSITY,MCGILL UNIVERSITY THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING
MCGILL UNIVERSITY,MCGILL UNIVERSITY HEALTH CENTRE
MCGILL UNIVERSITY,L'INSTITUITION ROYALE POUR L'AVANCEMENT DES SCIENCES-MCGILL UNIVERSITY
MCGILL UNIVERSITY,Office of Sponsored Research - McGill University
MCGILL UNIVERSITY,L'Institut de recherche du Centre universitaire de sante Mcgill
MCGILL UNIVERSITY,ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING MCGILL UNIVERSITY
MCGILL UNIVERSITY,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE
MCGILL UNIVERSITY,McGILL UNIVERSITY Chemical Engineering dept
MCGILL UNIVERSITY,RESEARCH INSTITUTE OF THE MCGILL
MCGILL UNIVERSITY,Centre Universitaire de Sante McGill
MCGILL UNIVERSITY,THE RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY
MCGILL UNIVERSITY,McGill University
MCGILL UNIVERSITY,Office of Sponsored Research-McGill UniversityMon
MCGILL UNIVERSITY,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL
MCGILL UNIVERSITY,McGILL UNIVERSITY / Office of the Vice-Principal (Research & Internati
MCGILL UNIVERSITY,Universite McGill
MCGILL UNIVERSITY,MCGILL UNIVERISTY
MCGILL UNIVERSITY,CENTRE UNIVERITAIRE DE SANTE MCGILL
MCGILL UNIVERSITY,Office of Sponsored Research McGill University
MCGILL UNIVERSITY,THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING MCGILL UNIVERSITY
MCGILL UNIVERSITY,Université de McGill
MCGILL UNIVERSITY,MCGILL UNIVERSITY GENOME QUEBEC INNOVATION CENTRE
MCGILL UNIVERSITY,"THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING, MCGILL UNIVERSITY"
MCGILL UNIVERSITY,THE ROYAL INSTITUTION FOT THE ADVANCEMENT OF LEARNING / MCGILL UNIVERSITY
MCGILL UNIVERSITY,"McGill University - Full Professor & Canada Research Chair in Youth, Gender and Armed Conflict"
MCGILL UNIVERSITY,OFFICE OF SPONSORED RESEARCH - MCGILL UNIVERSITY
MCGILL UNIVERSITY,Université McGill
MCGILL UNIVERSITY,Office of Sponsored Research-McGill University
MCGILL UNIVERSITY,MCGILL UNIVERSITY - MACDONALD CAMPUS
MCGILL UNIVERSITY,McGill University Research and
MCGILL UNIVERSITY,Royal Institution for the Advancement of Learning - McGill University
MCGILL UNIVERSITY,MCGILL ARCTIC RESEARCH STATION
MCGILL UNIVERSITY,THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING / MCGILL UNIVERSITY
MCGILL UNIVERSITY,THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING/MCGILL UNIVERSITY
MCGILL UNIVERSITY,MCGILL INSTITUTE FOR THE STUDY OF
MCGILL UNIVERSITY,UNIVERSITE MCGILL
MCGILL UNIVERSITY,UNIVERSITÉ McGILL/McGILL UNIVERSITY
MCGILL UNIVERSITY,MCGILL FACULTY CLUB & CONFERENCE CENTRE
MCGILL UNIVERSITY,"Canada Research Chair in Youth, Gender and Armed Conflict McGill University"
MCGILL UNIVERSITY,Dr Myriam Denov - McGill University
MCGILL UNIVERSITY,MCGILL UNIV.COMPARATIVE MEDECINE
MCGILL UNIVERSITY,MCGILL INSTITUTE FOR THE STUDY OF Canada
MCGILL UNIVERSITY,MCGILL
MCGILL UNIVERSITY,MCGILL SUBARCTIC RESEARCH STATION
MCGILL UNIVERSITY,MCGILL UNIVERSITY AND GENOME
