d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1670651.71,1715434.41
2018-2019,1670651.71,1691971.76
2019-2020,1724041.03,1720509.74
2020-2021,1709740.14,1673589.44
2021-2022,1717306.86,1304535.71
