owner_org,d_fiscal_year,total
cra-arc,2017-2018,76928.0318906606
cra-arc,2018-2019,76928.0318906606
cra-arc,2019-2020,59534.01824677915
cra-arc,2020-2021,98351.67789135705
dfo-mpo,2018-2019,10452.5
dfo-mpo,2019-2020,26431.83
dfo-mpo,2020-2021,82865.16
dnd-mdn,2019-2020,53886.550819672135
dnd-mdn,2020-2021,4811.299180327869
esdc-edsc,2017-2018,151097.7173024523
esdc-edsc,2018-2019,84969.02192714483
esdc-edsc,2019-2020,84786.71326488706
esdc-edsc,2020-2021,256732.0691674121
jus,2017-2018,41873.4079245283
jus,2018-2019,117676.94207547171
jus,2019-2020,54642.28
jus,2020-2021,65368.24
nrc-cnrc,2017-2018,260521.29454545456
nrc-cnrc,2018-2019,61593.115454545456
nrcan-rncan,2017-2018,47223.953835616434
nrcan-rncan,2018-2019,53388.78615044247
nrcan-rncan,2019-2020,34015.02384955752
nrcan-rncan,2020-2021,26883.829999999998
pco-bcp,2018-2019,3761.381922974944
pco-bcp,2019-2020,17873.598077025057
pco-bcp,2020-2021,4160.478843626806
pwgsc-tpsgc,2017-2018,829228.5465260332
pwgsc-tpsgc,2018-2019,808358.0044587256
pwgsc-tpsgc,2019-2020,810572.683922996
pwgsc-tpsgc,2020-2021,799990.486473114
rcmp-grc,2017-2018,17991.86
rcmp-grc,2018-2019,18300.35
rcmp-grc,2019-2020,7150.136748633879
rcmp-grc,2020-2021,31284.553251366116
ssc-spc,2017-2018,68333.11
ssc-spc,2018-2019,35019.491842105264
ssc-spc,2019-2020,67971.49655433555
ssc-spc,2020-2021,133724.4697183133
