d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,2888.19,2918.53
it_consulting_services,2019-2020,7564.31,7541.14
it_consulting_services,2020-2021,120149.59,113214.04
it_consulting_services,2021-2022,114509.35,105615.69
it_consulting_services,2022-2023,6070.69,5372.23
it_other,2021-2022,22235.58,20339.99
it_software_licensing,2017-2018,690370.25,711185.10
it_software_licensing,2018-2019,475149.80,483900.07
it_software_licensing,2019-2020,360861.49,357516.88
it_software_licensing,2020-2021,602610.00,574186.13
it_software_licensing,2021-2022,1111021.36,1024596.11
it_software_licensing,2022-2023,2427757.11,2166462.37
