d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,739767.9814392531
10_office_management,2018-2019,1058618.4671293239
10_office_management,2019-2020,1261024.4058318636
10_office_management,2020-2021,743160.5830051227
2_professional_services,2017-2018,34552.05875043752
2_professional_services,2018-2019,34552.05875043752
2_professional_services,2019-2020,34646.72192509626
2_professional_services,2020-2021,34552.05875043752
3_information_technology,2017-2018,379623.69009747554
3_information_technology,2018-2019,144585.14595968262
3_information_technology,2019-2020,255823.86101775328
3_information_technology,2020-2021,1138580.921397566
5_transportation_and_logistics,2018-2019,12585.38
5_transportation_and_logistics,2020-2021,6243.925679012345
6_industrial_products_and_services,2017-2018,20821.36382235815
6_industrial_products_and_services,2018-2019,22150.90856877564
6_industrial_products_and_services,2019-2020,21991.057372978943
6_industrial_products_and_services,2020-2021,136857.72910764886
9_human_capital,2018-2019,11300
9_human_capital,2019-2020,14655.64792176039
9_human_capital,2020-2021,10084.352078239608
