d_most_recent_category,total,percentage
2_professional_services,23826698.01,0.9489
9_human_capital,990948.75,0.0395
3_information_technology,171295.08,0.0068
6_industrial_products_and_services,62277.84,0.0025
1_facilities_and_construction,45584.48,0.0018
0_other,12630.02,5e-4
