d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1810416.46
1_facilities_and_construction,2018-2019,1897945.14
1_facilities_and_construction,2019-2020,237522.69
10_office_management,2020-2021,28323.76
2_professional_services,2017-2018,59519.18
2_professional_services,2018-2019,258279.44
2_professional_services,2019-2020,112261.82
2_professional_services,2020-2021,225260.53
6_industrial_products_and_services,2017-2018,1703915.66
6_industrial_products_and_services,2018-2019,234345.34
