d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1810416.46,1866756.30
1_facilities_and_construction,2018-2019,1897945.14,1930066.12
1_facilities_and_construction,2019-2020,237522.69,234667.78
1_facilities_and_construction,2022-2023,363671.80,325164.05
10_office_management,2020-2021,28323.76,26688.79
2_professional_services,2017-2018,59519.18,61218.96
2_professional_services,2018-2019,258279.44,263600.98
2_professional_services,2019-2020,112261.82,111976.25
2_professional_services,2020-2021,225260.53,214718.92
2_professional_services,2021-2022,209182.66,196259.97
2_professional_services,2022-2023,283876.22,253927.01
6_industrial_products_and_services,2017-2018,1703915.66,1757040.26
6_industrial_products_and_services,2018-2019,234345.34,240601.62
