d_fiscal_year,total,total_constant_2019_dollars
2017-2018,12973017.53,13288092.96
2018-2019,84774936.76,85985797.68
2019-2020,16332839.26,16290560.05
2020-2021,23920929.55,23204712.72
2021-2022,8939321.66,6603536.98
