d_most_recent_category,total,percentage
2_professional_services,107627614.85,0.8228179368955548
1_facilities_and_construction,11524970.59,0.08810891642079156
3_information_technology,8253418.67,0.06309775547806236
9_human_capital,1475346.05,0.011279086622604845
10_office_management,712171.14,0.005444580230838024
4_medical,636429.42,0.004865531415510489
11_defence,264279.61,0.002020429419563581
6_industrial_products_and_services,112158.18,8.574542810376597e-4
8_security_and_protection,103123.80,7.883860705997603e-4
5_transportation_and_logistics,69173.70,5.288360352493474e-4
0_other,24994.90,1.9108713018754108e-4
