d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,732948.4402058928
1_facilities_and_construction,2018-2019,1057778.1649824562
1_facilities_and_construction,2019-2020,4347808.626496114
1_facilities_and_construction,2020-2021,3596443.756041898
