normalized_vendor_name,original_vendor_name
COUVERTURE MONTREAL NORD,COUVERTURE MONTREAL NORD LTEE
COUVERTURE MONTREAL NORD,Couverture Montreal-Nord Ltee
COUVERTURE MONTREAL NORD,Couverture Montréal Nord Ltée
COUVERTURE MONTREAL NORD,Couverture Montréal-Nord Ltée
COUVERTURE MONTREAL NORD,Couverture Montreal-Nord Ltée
