d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
3_information_technology,2020-2021,868204.69,820799.47
3_information_technology,2021-2022,1968237.70,1848008.32
3_information_technology,2022-2023,10739.52,9604.78
6_industrial_products_and_services,2018-2019,29486.37,30232.24
6_industrial_products_and_services,2019-2020,23237.06,22895.30
6_industrial_products_and_services,2020-2021,111503.27,105842.07
6_industrial_products_and_services,2021-2022,217316.55,198264.69
6_industrial_products_and_services,2022-2023,83435.18,74590.11
8_security_and_protection,2020-2021,37639.29,35832.02
8_security_and_protection,2021-2022,12963.38,12035.15
