d_most_recent_category,total
1_facilities_and_construction,28250670216.02
3_information_technology,19924972603.55
11_defence,18040644084.43
2_professional_services,13513068642.78
4_medical,8528372700.24
6_industrial_products_and_services,6427440542.21
5_transportation_and_logistics,5453736868.95
8_security_and_protection,2064776028.03
10_office_management,1781720415.81
9_human_capital,862621724.75
0_other,288077658.06
7_travel,247087388.84
