d_most_recent_category,mean_original_value,mean_overall_value,n
0_other,252303.61,300810.59,1768
1_facilities_and_construction,753925.84,988394.70,58709
10_office_management,85298.08,101666.56,26063
11_defence,954930.24,1129183.08,33637
2_professional_services,194887.45,291396.10,74507
3_information_technology,343534.19,527277.84,60821
4_medical,812501.51,1111434.23,9917
5_transportation_and_logistics,177072.50,199867.99,29628
6_industrial_products_and_services,214709.00,236511.97,45609
7_travel,110651.55,126331.03,2140
8_security_and_protection,346788.51,380122.57,6822
9_human_capital,53545.01,70702.60,15872
