owner_org,total
dnd-mdn,24961631360.1
pwgsc-tpsgc,16013478454.26
ssc-spc,6893381449.09
dfo-mpo,5516974412.21
phac-aspc,4112169612.57
rcmp-grc,2289534180.02
csc-scc,2044394728.01
pc,2029845192.94
esdc-edsc,1866573300.27
dfatd-maecd,1387633984.22
cbsa-asfc,1273572083.84
cic,1062926559.35
csa-asc,1011891771.9
hc-sc,890493020.55
tc,826407719.37
nrc-cnrc,728964853.4
cra-arc,716038774.09
ec,686888538
infc,649439688.88
nrcan-rncan,537276223.92
aafc-aac,536966887.25
ic,517659939.18
tbs-sct,472100085.17
vac-acc,441435455.97
elections,402010394.1
isc-sac,330436750.21
cfia-acia,268130401.03
aandc-aadnc,240988442.08
statcan,156749773.92
pco-bcp,148600695.28
jus,144452449.27
ppsc-sppc,132421698.74
pch,121455465.72
osfi-bsif,106766409.39
cer-rec,92355281.22
ps-sp,79861342.32
cas-satj,71195085.24
fin,64598606.1
cnsc-ccsn,56725951.46
nserc-crsng,51968124.05
irb-cisr,46681634.16
oag-bvg,45325784.33
lac-bac,44922173.67
crtc,43196143.38
nfb-onf,39000479.29
atssc-scdata,38250031.83
cihr-irsc,32377573.71
csps-efpc,29556914.46
fcac-acfc,27624046.17
psc-cfp,23793971.76
osgg-bsgg,22095304.67
cgc-ccg,20542748.93
opc-cpvp,19931062.3
acoa-apeca,14047788.19
wage,12444339.87
oic-ci,11757630.08
pmprb-cepmb,11324267.09
ocol-clo,11063566.09
fja-cmf,10826383.55
iaac-aeic,10708679.27
chrc-ccdp,10689503.63
ced-dec,10119767.47
tsb-bst,9969908.28
cta-otc,9797251.71
feddevontario,8828577.41
fintrac-canafe,8419435.53
nbc-ccbn,8221936.93
cpc-cpp,6229336.2
pbc-clcc,6208518.69
sshrc-crsh,5996060.07
wd-deo,5589006.41
psic-ispc,5213666.84
ijc-cmi,4332943.99
ocl-cal,3694218.14
sirc-csars,3045817.8
swc-cfc,2935682.87
mpcc-cppm,2495981.29
ccohs-cchst,2383188.01
polar-polaire,2330024.26
cannor,2307982.16
iic-iac,2300636.94
nsira-ossnr,2258534.74
mgerc-ceegm,1724872.26
cics-scic,1659030.6
vrab-tacra,1275572.32
fpcc-cpac,830892.54
oci-bec,696111.21
casdo-ocena,644622.7
pptc,550466.39
erc-cee,289883.04
ocsec-bccst,223099.55
oto-boc,22107.6
