d_most_recent_category,total
1_facilities_and_construction,23231191737.24
3_information_technology,13159539197.99
2_professional_services,12433356539.27
11_defence,12083427707.38
4_medical,6023966444.55
6_industrial_products_and_services,4957095655.29
5_transportation_and_logistics,4595907004.39
8_security_and_protection,1513018611.25
10_office_management,1488496036.44
9_human_capital,858733283.2
7_travel,200120577.07
NA,182767030.22
