owner_org,total
dnd-mdn,33259378421.30
pwgsc-tpsgc,19695281428.87
ssc-spc,8984300237.82
dfo-mpo,6385894748.88
phac-aspc,6225309917.54
rcmp-grc,2909088701.52
esdc-edsc,2599576835.64
csc-scc,2513087462.88
pc,2377152233.67
dfatd-maecd,1750378410.46
cbsa-asfc,1686774741.02
cic,1458805819.12
csa-asc,1301452932.09
hc-sc,1231797843.40
tc,1004228247.23
nrc-cnrc,953207190.08
cra-arc,950082767.93
ec,833857040.44
infc,816925135.47
vac-acc,740403684.08
ic,737720957.15
nrcan-rncan,676757981.09
aafc-aac,675596327.61
tbs-sct,641753512.78
elections,483719062.82
isc-sac,442652846.55
cfia-acia,327194330.21
aandc-aadnc,278804406.09
statcan,250166718.51
pco-bcp,180809633.20
jus,176603806.51
ppsc-sppc,163750024.23
pch,154905133.68
osfi-bsif,136722675.36
cer-rec,112073120.19
ps-sp,110084790.94
cas-satj,93420483.03
fin,82824152.28
irb-cisr,73469634.27
cnsc-ccsn,73168171.47
nserc-crsng,64051163.63
oag-bvg,62899294.90
lac-bac,57660489.53
crtc,54578209.20
nfb-onf,48445022.60
atssc-scdata,47874185.57
cihr-irsc,40583183.28
csps-efpc,39507131.41
fcac-acfc,37111540.93
psc-cfp,29348844.82
cgc-ccg,26915903.70
opc-cpvp,24646427.94
iic-iac,24384953.14
osgg-bsgg,24281318.91
wage,22365456.12
acoa-apeca,17710320.42
chrc-ccdp,16123701.65
ocol-clo,15126911.03
oic-ci,14265701.98
iaac-aeic,14252760.87
ced-dec,14094782.89
pmprb-cepmb,13995294.51
fja-cmf,13914304.01
cta-otc,13160215.71
tsb-bst,13094037.84
feddevontario,11794432.84
nbc-ccbn,11393505.85
fintrac-canafe,9111066.19
pbc-clcc,8503125.21
sshrc-crsh,7375929.80
cpc-cpp,6918236.04
psic-ispc,6594821.57
wd-deo,5722425.28
ijc-cmi,5330602.64
ocl-cal,5197439.57
nsira-ossnr,3645998.21
ccohs-cchst,3412089.70
sirc-csars,3045817.80
polar-polaire,3009705.87
swc-cfc,2978430.43
mpcc-cppm,2836278.77
cannor,2678481.57
cics-scic,2313487.37
mgerc-ceegm,2041161.63
casdo-ocena,1847142.60
vrab-tacra,1467248.42
fpcc-cpac,1136470.22
oci-bec,1037162.64
pptc,549303.98
erc-cee,439192.98
ocsec-bccst,379045.20
oto-boc,22107.60
fednor,8482.74
