d_most_recent_category,max_years,n
0_other,31.02,1896
1_facilities_and_construction,34.82,59127
10_office_management,22.24,26586
11_defence,23.9,32795
2_professional_services,30.09,79004
3_information_technology,20.01,52427
4_medical,13.01,9925
5_transportation_and_logistics,11.94,29690
6_industrial_products_and_services,36.37,46027
7_travel,12.01,2160
8_security_and_protection,10.09,6889
9_human_capital,10.87,18541
