d_most_recent_category,contracts,contracts_with_amendments,has_amendments_percentage
0_other,1299,78,0.06
1_facilities_and_construction,54951,8594,0.1564
10_office_management,24434,1692,0.0692
11_defence,30688,1423,0.0464
2_professional_services,73162,12248,0.1674
3_information_technology,48001,8171,0.1702
4_medical,9115,1092,0.1198
5_transportation_and_logistics,29183,3150,0.1079
6_industrial_products_and_services,44630,2122,0.0475
7_travel,2083,233,0.1119
8_security_and_protection,6479,1499,0.2314
9_human_capital,17377,2027,0.1166
