d_most_recent_category,mean_original_value,mean_overall_value,n
0_other,204238.33,126066.70,7
1_facilities_and_construction,127450.67,148080.04,361
10_office_management,38692.58,39453.41,426
2_professional_services,170368.71,205585.97,1472
3_information_technology,136575.13,170736.15,956
4_medical,40937.07,58942.61,86
5_transportation_and_logistics,126449.07,132291.35,2777
6_industrial_products_and_services,66094.28,75460.41,531
7_travel,26883.67,23550.55,4
8_security_and_protection,204664.17,206799.25,107
9_human_capital,45776.52,48665.40,639
