d_most_recent_category,max_overall_value,n
0_other,30295865.00,1433
1_facilities_and_construction,5723000000.00,59717
10_office_management,340945341.00,26961
11_defence,2447262476.00,32349
2_professional_services,2493783659.00,79171
3_information_technology,1079396751.45,52667
4_medical,995555367.00,9924
5_transportation_and_logistics,782743750.00,29694
6_industrial_products_and_services,2900107494.23,45879
7_travel,18104398.20,2141
8_security_and_protection,27329705.28,6843
9_human_capital,32230000.01,18393
