d_most_recent_category,max_overall_value,n
0_other,30295865.00,1299
1_facilities_and_construction,2858077450.79,54951
10_office_management,272154490.00,24434
11_defence,2447262476.00,30688
2_professional_services,514540899.00,73162
3_information_technology,1079396751.45,48001
4_medical,995555367.00,9115
5_transportation_and_logistics,782743750.00,29183
6_industrial_products_and_services,591565976.07,44630
7_travel,18104398.20,2083
8_security_and_protection,27329705.28,6479
9_human_capital,32230000.01,17377
