d_most_recent_category,min_overall_value,n
0_other,0.00,1378
1_facilities_and_construction,-336171.33,59581
10_office_management,-24567.33,26703
11_defence,0.00,32264
2_professional_services,-86237.00,79111
3_information_technology,-272885.17,52670
4_medical,-258706.00,9923
5_transportation_and_logistics,-13412.91,29678
6_industrial_products_and_services,-471028.22,45861
7_travel,0.00,2141
8_security_and_protection,0.00,6836
9_human_capital,-24577.50,18391
