d_vendor_name,overall_total
INTERACTIVE AUDIO VISUAL,149990.75
PLEIAD CANADA,147749.71613165378
ARTEMP PERSONNEL SERVICES,95037.80056074767
REVAL CONSTRUCTION,57930.94
STATISTIC CANADA,54952
STEWART + TSAI ARCHITECTS,52618.450000000004
THE RIGHT DOOR CONSULTING AND,38928.5
THE WINNIPEG FAIRMONT,36507
PUBLIC WORKS CANADA,31417.32283464567
RHETORICA,29978.9
NICOLE CHENEVERT MIQUELON,26399.999999999996
LARIMAR STARTEGIES,21600
LARIMAR STRATEGIES,21600
NIVA,19210
MLT AIKANS,15029
THE COMPUTER MEDIA GROUP,13965.78
THE GLOBE MAIL,12976.38
STEVE S PHOTO,5000
