category,total,percentage
2_professional_services,533079.6195270472,0.6315416788611076
10_office_management,163956.53,0.19423999422132832
6_industrial_products_and_services,57930.94,0.06863102952249672
1_facilities_and_construction,52618.450000000004,0.062337300160812466
3_information_technology,36507,0.04324999723425492
