d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,22089.823465634076
10_office_management,2018-2019,4044.1434656340757
10_office_management,2019-2020,4055.223310745402
10_office_management,2020-2021,675.8705517909003
11_defence,2017-2018,2487757.7383302124
11_defence,2018-2019,3975001.617910225
11_defence,2019-2020,1736624.266273224
11_defence,2020-2021,14183.257486338796
3_information_technology,2017-2018,20980738.0058149
3_information_technology,2018-2019,20089310.14359276
3_information_technology,2019-2020,18654318.96637876
3_information_technology,2020-2021,10931361.869474333
4_medical,2017-2018,16752.23
