d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,53176016.9807072
1_facilities_and_construction,2018-2019,19347302.30186075
1_facilities_and_construction,2019-2020,9393678.825591095
1_facilities_and_construction,2020-2021,9984594.649061622
10_office_management,2018-2019,128802.3
2_professional_services,2017-2018,386840
2_professional_services,2018-2019,806627.23
2_professional_services,2019-2020,19853.6
2_professional_services,2020-2021,45029.46
5_transportation_and_logistics,2017-2018,1080135.5355604636
5_transportation_and_logistics,2020-2021,275885
