d_most_recent_category,total,percentage
2_professional_services,1685043.26,0.4862
10_office_management,1424559.95,0.4111
6_industrial_products_and_services,310197.19,0.0895
1_facilities_and_construction,24543.75,0.0071
5_transportation_and_logistics,21287.44,0.0061
