d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,26139.76,26851.39
1_facilities_and_construction,2019-2020,24069.00,23795.01
10_office_management,2020-2021,10735.00,10251.87
6_industrial_products_and_services,2017-2018,874293.37,896841.28
6_industrial_products_and_services,2018-2019,806125.40,818476.93
6_industrial_products_and_services,2019-2020,1019209.13,1011102.53
6_industrial_products_and_services,2020-2021,966808.38,918476.64
6_industrial_products_and_services,2021-2022,811974.52,753054.43
