d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,230520.00,236471.03
it_consulting_services,2019-2020,3130.21,3054.45
it_consulting_services,2020-2021,34621.96,32914.07
it_devices_equipment,2017-2018,4588906.23,4706305.10
it_devices_equipment,2018-2019,5851114.07,5941608.71
it_devices_equipment,2019-2020,5212414.18,5169150.62
it_devices_equipment,2020-2021,1088622.99,1034345.56
it_devices_equipment,2021-2022,1830912.64,1700275.54
it_other,2017-2018,4861433.58,4985211.00
it_other,2018-2019,4164104.08,4224797.56
it_other,2019-2020,3633760.31,3599050.51
it_other,2020-2021,3959654.54,3765221.41
it_other,2021-2022,3238166.85,3013244.32
it_software_licensing,2020-2021,1343.31,1264.88
it_software_licensing,2021-2022,106517.90,98441.95
