d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
5_transportation_and_logistics,2018-2019,360224.07,364426.89
5_transportation_and_logistics,2019-2020,315947.93,316417.37
5_transportation_and_logistics,2020-2021,1988735.20,1894333.69
5_transportation_and_logistics,2021-2022,508783.93,460678.52
6_industrial_products_and_services,2018-2019,123240.94,124453.51
6_industrial_products_and_services,2019-2020,82686.87,82980.86
