owner_org,d_fiscal_year,total
dnd-mdn,2017-2018,1427208.041981132
dnd-mdn,2018-2019,2028929.8786746056
dnd-mdn,2019-2020,1446193.9693442623
dnd-mdn,2020-2021,863557.61
nrcan-rncan,2019-2020,34025.43
nrcan-rncan,2020-2021,38777.450000000004
