d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1314596.47,1347991.82
2018-2019,1314458.40,1334292.37
2019-2020,1894274.71,1871246.74
2020-2021,2040830.01,1940530.21
2021-2022,1779881.81,1259368.34
