d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,546255.66,563731.64
1_facilities_and_construction,2018-2019,81586.42,82816.54
1_facilities_and_construction,2019-2020,3261927.47,3234442.43
1_facilities_and_construction,2020-2021,193798.89,184502.28
1_facilities_and_construction,2021-2022,81127.37,74655.57
10_office_management,2017-2018,51797.90,53430.46
10_office_management,2018-2019,36201.91,36674.65
10_office_management,2019-2020,67203.59,66312.91
10_office_management,2020-2021,65449.80,62517.69
10_office_management,2021-2022,93222.24,86024.89
11_defence,2018-2019,358500.61,364755.33
11_defence,2019-2020,331831.82,327933.48
11_defence,2020-2021,92857.57,88819.05
11_defence,2021-2022,16434.67,15521.41
2_professional_services,2017-2018,57020.34,58612.92
2_professional_services,2018-2019,432821.45,440531.13
2_professional_services,2019-2020,466127.23,462151.80
2_professional_services,2020-2021,315089.00,300356.94
2_professional_services,2021-2022,237846.50,224612.96
3_information_technology,2017-2018,24480.08,25167.89
3_information_technology,2018-2019,16550.94,16699.78
3_information_technology,2019-2020,38031.60,37505.23
3_information_technology,2020-2021,105141.05,99732.68
3_information_technology,2021-2022,222652.62,208576.50
6_industrial_products_and_services,2017-2018,767520.63,790671.33
6_industrial_products_and_services,2018-2019,554655.02,563865.74
6_industrial_products_and_services,2019-2020,639520.51,632416.72
6_industrial_products_and_services,2020-2021,831745.09,792851.41
6_industrial_products_and_services,2021-2022,471290.23,439959.35
8_security_and_protection,2017-2018,787769.42,811861.14
8_security_and_protection,2018-2019,987215.03,1004834.37
8_security_and_protection,2019-2020,1014649.42,1006418.02
8_security_and_protection,2020-2021,1180363.10,1125731.91
8_security_and_protection,2021-2022,1096316.39,1025777.11
