d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,15548.00,15914.50
1_facilities_and_construction,2018-2019,22398.55,22667.88
1_facilities_and_construction,2021-2022,12880.00,12087.71
10_office_management,2017-2018,1042009.82,1068167.53
10_office_management,2018-2019,614000.35,621236.39
10_office_management,2019-2020,1187261.63,1175372.07
10_office_management,2020-2021,1116725.54,1060138.66
10_office_management,2021-2022,1567466.66,1451377.05
2_professional_services,2018-2019,15305.06,15480.00
5_transportation_and_logistics,2020-2021,29904.00,28158.15
5_transportation_and_logistics,2021-2022,16170.00,14742.40
6_industrial_products_and_services,2017-2018,366826.56,375587.05
6_industrial_products_and_services,2018-2019,346884.01,352888.18
6_industrial_products_and_services,2019-2020,14175.91,14094.52
6_industrial_products_and_services,2020-2021,18142.11,17082.94
6_industrial_products_and_services,2021-2022,46239.77,43186.33
