d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2019-2020,7178.31,7050.08
it_consulting_services,2020-2021,14556.02,13837.97
it_consulting_services,2021-2022,72357.38,65932.35
it_other,2018-2019,53462.66,53988.68
it_other,2019-2020,764584.78,750926.83
it_other,2020-2021,1567445.89,1489488.35
it_other,2021-2022,2052568.96,1917324.45
it_software_licensing,2019-2020,403527.11,396318.82
it_software_licensing,2020-2021,473432.40,450600.12
it_software_licensing,2021-2022,102872.35,95925.80
