d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,482089.35,494319.53
it_consulting_services,2018-2019,370039.18,375793.83
it_consulting_services,2019-2020,432792.03,429551.55
it_consulting_services,2020-2021,380521.67,361655.75
it_consulting_services,2021-2022,79710.62,74006.92
it_devices_equipment,2017-2018,505673.23,518776.87
it_devices_equipment,2018-2019,505673.23,513537.19
it_devices_equipment,2019-2020,507058.63,502779.58
it_other,2017-2018,142341.89,145697.19
it_other,2018-2019,88232.95,89514.29
it_other,2019-2020,165964.62,163031.66
it_other,2020-2021,158420.36,149834.57
it_other,2021-2022,144466.56,131372.46
it_software_licensing,2020-2021,36792.00,34644.01
it_software_licensing,2021-2022,156227.31,144692.89
