owner_org,d_fiscal_year,total
aafc-aac,2019-2020,58584.94
aandc-aadnc,2017-2018,112050.17000000001
aandc-aadnc,2018-2019,19679.36
csa-asc,2017-2018,164295462.24313188
csa-asc,2018-2019,165276095.03845385
csa-asc,2019-2020,162947444.9498145
csa-asc,2020-2021,215423869.02270788
dfatd-maecd,2017-2018,8451.812585499316
dfatd-maecd,2018-2019,68553.59097127224
dfatd-maecd,2019-2020,60289.59644322845
dfatd-maecd,2020-2021,10482.492147742818
dfo-mpo,2017-2018,167547.77000000002
dfo-mpo,2018-2019,161758.69
dfo-mpo,2019-2020,140116.53
dfo-mpo,2020-2021,554298.3433471264
dnd-mdn,2017-2018,37405354.70294011
dnd-mdn,2018-2019,42294515.94976737
dnd-mdn,2019-2020,39614291.37688294
dnd-mdn,2020-2021,42031597.86631128
ec,2017-2018,26250
ec,2018-2019,8064
ec,2019-2020,51640.23
ec,2020-2021,10681.359999999999
isc-sac,2020-2021,36792
nrc-cnrc,2017-2018,1116265.4997901276
nrc-cnrc,2018-2019,920460.5044417247
nrc-cnrc,2019-2020,1053251.0676323161
nrc-cnrc,2020-2021,1351194.1069966406
nrcan-rncan,2017-2018,2527864.808791702
nrcan-rncan,2018-2019,1814308.1196872243
nrcan-rncan,2019-2020,1938497.2985904769
nrcan-rncan,2020-2021,1588588.1297315834
pc,2017-2018,90957.43000000001
pc,2018-2019,33828.47
pc,2019-2020,34411.159999999996
pc,2020-2021,117036.79000000001
statcan,2019-2020,185840.55
statcan,2020-2021,222480.12005772005
