owner_org,d_fiscal_year,total
atssc-scdata,2018-2019,23698.08841201717
atssc-scdata,2019-2020,9365.711587982834
cbsa-asfc,2017-2018,37279.53883435583
cnsc-ccsn,2017-2018,20908.960000000003
dfatd-maecd,2017-2018,59517.1
dfatd-maecd,2018-2019,3830395.169164087
dfatd-maecd,2019-2020,512353.5408359134
dfo-mpo,2017-2018,21955.9
dfo-mpo,2020-2021,21470
dnd-mdn,2017-2018,2377791.7337629893
dnd-mdn,2018-2019,5463293.2502235975
dnd-mdn,2019-2020,1253048.3328565946
dnd-mdn,2020-2021,2081762.029295247
jus,2017-2018,10735
rcmp-grc,2017-2018,89324.50582568807
rcmp-grc,2018-2019,844512.8450000001
rcmp-grc,2019-2020,755823.1
rcmp-grc,2020-2021,171760
ssc-spc,2017-2018,61020
