d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
AVI SPL,2021-2022,16508.75,15253.92
AVI SPL,2022-2023,22857.55,20450.60
CALIAN,2020-2021,12537.50,11813.79
CALIAN,2021-2022,134593.79,125135.30
CALIAN,2022-2023,134593.79,120435.08
CALYTERA SOFTWARE,2020-2021,90926.24,85677.59
CALYTERA SOFTWARE,2021-2022,23596.03,21802.50
CALYTERA SOFTWARE,2022-2023,129898.83,115496.87
CANADIAN CORPS OF COMMISSIONAIRES,2022-2023,11025.00,9865.22
CDW CANADA,2021-2022,47158.02,44288.72
CISION CANADA,2020-2021,10328.20,9835.76
CISION CANADA,2021-2022,16046.00,14918.38
CISION CANADA,2022-2023,37855.00,33872.81
FAST FORWARD FRENCH,2021-2022,22000.00,20538.26
FOX TRANSLATIONS,2021-2022,37810.39,35153.29
FOX TRANSLATIONS,2022-2023,22600.00,20222.57
GARTNER,2022-2023,22084.75,19543.80
GOSS GILROY,2022-2023,127380.82,113511.51
INSTITUTE ON GOVERNANCE,2022-2023,39750.00,35508.72
KPMG,2022-2023,130725.00,115820.80
LIONBRIDGE,2021-2022,49550.73,46068.59
LIONBRIDGE,2022-2023,34548.71,30914.33
MICROSOFT CANADA,2020-2021,489922.30,461641.90
MICROSOFT CANADA,2022-2023,288418.24,256023.90
MNP,2021-2022,115367.70,107232.00
MNP,2022-2023,296801.04,264436.66
NORTHERN MICRO,2021-2022,557059.50,524792.38
NORTHERN MICRO,2022-2023,1715559.22,1538235.23
ORACLE CANADA,2022-2023,14956.46,13235.65
OXFORD ECONOMICS USA,2021-2022,19390.92,17529.09
OXFORD ECONOMICS USA,2022-2023,120233.08,107562.67
PLEIAD CANADA,2022-2023,13138.13,11658.40
PRICEWATERHOUSE COOPERS,2022-2023,131250.00,116149.08
TEKNION,2022-2023,759005.74,671678.64
WORKDYNAMICS TECHNOLOGIES,2021-2022,61842.62,56895.62
WORKDYNAMICS TECHNOLOGIES,2022-2023,35311.72,31248.94
XEROX,2017-2018,3941.65,4063.16
XEROX,2018-2019,4657.66,4746.91
XEROX,2019-2020,4670.42,4633.16
XEROX,2020-2021,4657.66,4435.58
XEROX,2021-2022,4657.66,4330.34
XEROX,2022-2023,2613.08,2346.29
