owner_org,d_fiscal_year,total
dfo-mpo,2017-2018,308294.64246216696
dfo-mpo,2018-2019,180124.5791096723
dfo-mpo,2019-2020,223136.8615567654
dfo-mpo,2020-2021,233403.5096241562
dnd-mdn,2017-2018,241851.82989712994
dnd-mdn,2018-2019,227448.1665109908
dnd-mdn,2019-2020,285699.8740399784
dnd-mdn,2020-2021,162874.61401517948
pwgsc-tpsgc,2017-2018,1380107.782098649
pwgsc-tpsgc,2018-2019,1047184.4986000088
pwgsc-tpsgc,2019-2020,1354882.5125926523
pwgsc-tpsgc,2020-2021,1433912.4570315797
rcmp-grc,2017-2018,140743.65613832852
rcmp-grc,2018-2019,54075
rcmp-grc,2019-2020,73500
