d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,36267
2_professional_services,2017-2018,3542.5243243243244
2_professional_services,2018-2019,81399.67959140243
2_professional_services,2019-2020,430099.8262559517
2_professional_services,2020-2021,231623.84391071874
3_information_technology,2019-2020,33525.086243395825
3_information_technology,2020-2021,33089.07957171051
5_transportation_and_logistics,2019-2020,388020.5
5_transportation_and_logistics,2020-2021,880043.6
6_industrial_products_and_services,2018-2019,1824.7711466666665
6_industrial_products_and_services,2019-2020,113788.50472
6_industrial_products_and_services,2020-2021,71878.84413333333
9_human_capital,2019-2020,24921
