d_vendor_name,d_fiscal_year,total
FELIX TECHNOLOGY,2020-2021,557903.6
LUMINA IT,2018-2019,13345.92283464567
LUMINA IT,2019-2020,61057.59696850394
LUMINA IT,2020-2021,10343.090196850393
MAXSYS STAFFING AND CONSULTING,2019-2020,14746.499999999998
QMR,2020-2021,39324
RAYMOND CHABOT GRANT THORNTON CONSULTING,2019-2020,69071.11396468699
RAYMOND CHABOT GRANT THORNTON CONSULTING,2020-2021,97716.88603531299
SAMSON ASSOCIES,2019-2020,14834.409917355373
SAMSON ASSOCIES,2020-2021,15081.65008264463
STRATOS,2019-2020,39380.5
UNIVERSITY OF GUELPH,2019-2020,24921
UNIVERSITY OF WATERLOO,2019-2020,27952.25
