d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,20342.4
1_facilities_and_construction,2019-2020,10761.56
1_facilities_and_construction,2020-2021,25245.55
10_office_management,2017-2018,NA
10_office_management,2018-2019,NA
10_office_management,2019-2020,540198.4312060722
10_office_management,2020-2021,294247.02838103665
2_professional_services,2017-2018,352820.2883845066
2_professional_services,2018-2019,570154.8566755072
2_professional_services,2019-2020,333865.53715912753
2_professional_services,2020-2021,357833.6996959614
3_information_technology,2017-2018,94938.14134246577
3_information_technology,2018-2019,166918.54742465753
3_information_technology,2019-2020,415174.81808006007
3_information_technology,2020-2021,850017.3234010882
5_transportation_and_logistics,2017-2018,73645.53
5_transportation_and_logistics,2018-2019,27507.03
5_transportation_and_logistics,2019-2020,210020.36000000002
5_transportation_and_logistics,2020-2021,147408.84991785322
6_industrial_products_and_services,2017-2018,36602.96
6_industrial_products_and_services,2020-2021,55852.96
7_travel,2017-2018,80027.49
7_travel,2018-2019,1498.2758620689656
7_travel,2019-2020,80585.1724137931
7_travel,2020-2021,24958.463794897558
8_security_and_protection,2018-2019,149327.6
8_security_and_protection,2019-2020,167844.1
8_security_and_protection,2020-2021,171416.04371152155
9_human_capital,2017-2018,115198
9_human_capital,2018-2019,46309.421974522294
9_human_capital,2019-2020,170747.92062966115
9_human_capital,2020-2021,48643.687395816574
