d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,12486685.938737726
1_facilities_and_construction,2018-2019,4669942.321943268
1_facilities_and_construction,2019-2020,3754005.0017075203
1_facilities_and_construction,2020-2021,4924210.939061899
10_office_management,2017-2018,5815983.84465079
10_office_management,2018-2019,6689617.029608572
10_office_management,2019-2020,3517156.2849389873
10_office_management,2020-2021,2266977.8218429815
2_professional_services,2017-2018,24494771.20733279
2_professional_services,2018-2019,29910335.16591972
2_professional_services,2019-2020,42154995.852550745
2_professional_services,2020-2021,64742826.25200062
3_information_technology,2017-2018,58729526.66362751
3_information_technology,2018-2019,66494268.57233738
3_information_technology,2019-2020,57701369.11246901
3_information_technology,2020-2021,69695913.24008064
4_medical,2018-2019,5491.4387211367675
4_medical,2019-2020,6611.403197158082
4_medical,2020-2021,6593.339253996448
5_transportation_and_logistics,2017-2018,565478.8663078828
5_transportation_and_logistics,2018-2019,1152962.9117724984
5_transportation_and_logistics,2019-2020,571201.657717095
5_transportation_and_logistics,2020-2021,717508.319340939
6_industrial_products_and_services,2017-2018,4199620.900428151
6_industrial_products_and_services,2018-2019,2374340.8957248726
6_industrial_products_and_services,2019-2020,1408268.1529593822
6_industrial_products_and_services,2020-2021,3107104.0561258364
7_travel,2017-2018,244438.67628533285
7_travel,2018-2019,400257.93307196663
7_travel,2019-2020,355220.6169702958
7_travel,2020-2021,202481.69425143456
8_security_and_protection,2017-2018,2759000.49
8_security_and_protection,2018-2019,2834391.18
8_security_and_protection,2019-2020,2832285
8_security_and_protection,2020-2021,2598624.61
9_human_capital,2017-2018,7527075.156488815
9_human_capital,2018-2019,7667915.123707045
9_human_capital,2019-2020,8739040.31164385
9_human_capital,2020-2021,8901120.874666352
