d_most_recent_category,total,percentage
3_information_technology,252621077.59,0.4884156321308227
2_professional_services,161302928.48,0.3118618308855686
9_human_capital,32835151.47,0.06348322718244157
1_facilities_and_construction,25834844.20,0.04994888740917321
10_office_management,18289734.98,0.035361231760800076
6_industrial_products_and_services,11089334.01,0.02144003235905962
8_security_and_protection,11024301.28,0.021314298592464878
5_transportation_and_logistics,3007151.76,0.00581400388051396
7_travel,1202398.92,0.0023247087474807205
4_medical,18696.18,3.6147051674646974e-5
