d_vendor_name,overall_total
LUMINA IT,47843142.84
DELOITTE,38334912.25
LS TELCOM,36070349.32
COFOMO,30744781.96
VERITAAQ TECHNOLOGY HOUSE,28067103.75
CGI,24392885.43
EXCEL HUMAN RESOURCES,23994338.44
SALESFORCE CANADA,20220840.63
GROUPE ONSCOPE,18150225.65
MODIS CANADA,17754720.20
CANADIAN CORPS OF COMMISSIONAIRES,17229881.83
NORTHERN MICRO,16176490.36
CORADIX TECHNOLOGY CONSULTING,12960726.26
COSSETTE COMMUNICATIONS,12936778.29
THE AIM GROUP,12742409.31
MINDWIRE SYSTEMS,10740756.97
ADVANCED CHIPPEWA TECHNOLOGIES,9856992.82
SI SYSTEMS,9765169.81
IBISKA TELECOM,9574005.65
TOTEM OFFISOURCE,8994305.51
AMAZON,8301634.00
RANDSTAD,7743694.38
KPMG,7418474.23
CALIAN,6925938.93
XEROX,6667553.12
CHEMICAL ABSTRACTS SERVICE,6374714.89
SYSTEMSCOPE,6249814.83
DYNABOOK CANADA,6065060.93
PRECISIONIT,6028937.06
GC STRATEGIES,5819440.43
IDP GROUP,5740927.57
POWER AUCTIONS,5713387.58
SKY CANOE,5578607.79
MICROSOFT CANADA,5517616.31
GARTNER,5459188.12
IBM CANADA,5274764.90
ORACLE CANADA,5261081.09
SEMANTIC CONSULTING,5243599.12
KEYSIGHT TECHNOLOGIES CANADA,5167630.78
ECOPIA TECH,4107062.57
ALTIS HUMAN RESOURCES,4027792.25
TPG TECHNOLOGY CONSULTANTS,4005016.12
TESTFORCE SYSTEMS,3926264.47
LEVERAGE TECHNOLOGY RESOURCES,3773413.43
TOSHIBA CANADA,3638625.08
PRICEWATERHOUSE COOPERS,3529135.85
AVI SPL,3486597.39
MCKINSEY AND COMPANY,3440497.44
OPENTEXT,3427355.91
TEKSYSTEMS CANADA,3423412.05
QUESTEL ORBIT,3282295.60
CACHE COMPUTER CONSULTING,3140819.31
ROHDE SCHWARZ CANADA,3035095.39
ARA ROBOTIQUE ARA ROBOTIC IN,2859352.31
GQ LIFE SCIENCES,2831173.53
RAYMOND CHABOT GRANT THORNTON,2670081.00
MAPLESOFT CONSULTING,2498908.92
ADGA GROUP,2430975.10
PURELOGIC,2326083.47
MOTOROLA SOLUTIONS CANADA,2311452.12
GRAYBRIDGE INTERNATIONAL CONSULTING,2123281.37
MARINELABS DATA SYSTEMS,2114341.92
NRNS,2108511.08
ADVANCED BUSINESS INTERIORS,2098830.24
HYPERTEC,2064764.78
SIMPLEX GRINNELL,2010503.09
NISHA TECHONOLOGIES,1858903.49
ERNST YOUNG,1829633.01
LINOVATI,1807994.35
EBSCO CANADA,1659088.60
SOMOS,1618361.42
FACTIVA,1607831.61
CISTEL TECHNOLOGY,1589934.75
ZIGHRA,1530476.85
S P GLOBAL MARKET INTELLIGENCE,1506777.34
FELIX TECHNOLOGY,1505251.76
NUA OFFICE,1485107.00
"NATIONS TRANSLATION GROUP",1481042.69
TELECOM COMPUTER SERVICES,1443813.21
ACCENTURE,1403500.12
KNOWLEDGE CIRCLE LEARNING SERVICES,1396921.15
SOLUTIONS MOERAE,1389718.59
CDW CANADA,1362217.69
SOFTCHOICE,1343777.85
ALIKA INTERNET TECHNOLOGIES,1343499.43
CONFLUENCE CONSULTING,1339842.80
KRAKEN ROBOTIC SYSTEMS,1307443.69
HONEYWELL,1299701.86
FAST FORWARD FRENCH,1289864.51
CISION CANADA,1261561.89
NEWENERGY COMMUNITY,1257746.56
DONNA CONA,1196340.67
DYNAMIC PERSONNEL CONSULTANTS,1194196.38
ACME FUTURE SECURITY CONTROLS,1180091.74
TERRAGON ENVIRONMENTAL TECHNOLOGIES,1179224.63
EAGLE PROFESSIONAL RESOURCES,1164784.70
LIONBRIDGE,1159722.92
DATIFEX,1084627.36
2KEYS,1075944.71
AVALON HOLOGRAPHICS,1074868.68
ASOKAN BUSINESS INTERIORS,1071622.42
GAP WIRELESS,1056985.73
THOMSON REUTERS,1041711.50
STANTEC,960227.44
IRON MOUNTAIN,955191.24
NEWFOUND RECRUITING,929028.64
IT NET CONSULTANTS,918050.08
CARAHSOFT TECHNOLOGY,911148.00
MAXSYS STAFFING AND CONSULTING,903767.51
MGIS,885883.47
SHI CANADA,884635.90
ECOLE DE LANGUES ABCE,876851.93
MALATEST,861314.36
GEOSPECTRUM TECHNOLOGIES,857837.29
MAKWA RESOURCING,846709.20
TRANSPOLAR TECHNOLOGY,844628.14
SAMSON ASSOCIES,832531.33
ARTEMP PERSONNEL SERVICES,784086.74
GENERAL MOTORS,758205.56
RISK SCIENCES INTERNATIONAL,721332.83
NUIX NORTH AMERICA,702535.19
QMR,692339.16
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,681472.55
ONX ENTERPRISE SOLUTIONS,673900.13
ECLIPSYS SOLUTIONS,672265.62
INTERFAX SYSTEMS,667779.60
NITAM SOLUTIONS,649233.66
LEO PISCES SERVICES GROUP,627365.64
