d_most_recent_category,total,percentage
3_information_technology,252529895.63851455,0.48823934165588173
2_professional_services,161394110.42780384,0.3120381213605096
9_human_capital,32835151.466506064,0.06348322718244158
1_facilities_and_construction,25834844.201450415,0.049948887409173214
10_office_management,18289734.98104133,0.035361231760800076
6_industrial_products_and_services,11089334.005238242,0.021440032359059624
8_security_and_protection,11024301.28,0.02131429859246488
5_transportation_and_logistics,3007151.7551384154,0.005814003880513961
7_travel,1202398.9205790297,0.002324708747480721
4_medical,18696.181172291297,3.614705167464698e-5
