d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,921529.6396396396
1_facilities_and_construction,2018-2019,921529.6396396396
1_facilities_and_construction,2019-2020,229751.22522522524
11_defence,2017-2018,3635738.6534380927
11_defence,2018-2019,1716049.6666666667
11_defence,2019-2020,691121.3726027397
2_professional_services,2018-2019,301687.0389824606
2_professional_services,2019-2020,115672.0310175394
