d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,0.00,0.00
0_other,2018-2019,0.00,0.00
0_other,2019-2020,0.00,0.00
0_other,2020-2021,0.00,0.00
0_other,2021-2022,0.00,0.00
1_facilities_and_construction,2017-2018,81520.17,83766.63
11_defence,2017-2018,11442.90,11758.23
11_defence,2019-2020,24986.00,24717.27
5_transportation_and_logistics,2017-2018,33085.50,34221.00
5_transportation_and_logistics,2018-2019,32318.00,33142.77
5_transportation_and_logistics,2020-2021,32495.23,31163.23
6_industrial_products_and_services,2017-2018,1676498.46,1726942.35
6_industrial_products_and_services,2018-2019,2154129.29,2189962.50
6_industrial_products_and_services,2019-2020,1670016.27,1652318.90
6_industrial_products_and_services,2020-2021,1008495.84,962586.47
6_industrial_products_and_services,2021-2022,1957019.43,1814539.72
