d_most_recent_category,total,percentage
3_information_technology,6805235.58,0.4891
9_human_capital,3716539.80,0.2671
2_professional_services,2260162.16,0.1624
10_office_management,1039445.77,0.0747
6_industrial_products_and_services,80000.00,0.0057
1_facilities_and_construction,12920.70,9e-4
