normalized_vendor_name,original_vendor_name
SYSTEMS FOR RESEARCH,SYSTEMS FOR RESEARCH CORPORATION
SYSTEMS FOR RESEARCH,SYSTEMS FOR RESEARCH CORP.
SYSTEMS FOR RESEARCH,Systems for Research Corp.
SYSTEMS FOR RESEARCH,Systems for Research
SYSTEMS FOR RESEARCH,SYSTEMS FOR RESEARCH CORP
SYSTEMS FOR RESEARCH,"Systems for Research, Inc"
SYSTEMS FOR RESEARCH,Systems For Research
SYSTEMS FOR RESEARCH,SYSTEMS FOR RESEARCH
SYSTEMS FOR RESEARCH,SYSTEMS FOR RESEARCH INC.
SYSTEMS FOR RESEARCH,Systems for Research Corp
