d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,8028149.85,8277537.84
it_consulting_services,2018-2019,7769317.53,7917222.05
it_consulting_services,2019-2020,7505178.58,7440740.96
it_consulting_services,2020-2021,8296850.49,7901814.42
it_consulting_services,2021-2022,7726912.00,7183346.62
it_consulting_services,2022-2023,7446471.60,6666219.50
it_software_licensing,2017-2018,1699028.71,1748065.59
it_software_licensing,2018-2019,749190.01,769191.01
it_software_licensing,2020-2021,42206.54,40504.59
it_software_licensing,2021-2022,36831.72,34202.83
it_software_licensing,2022-2023,186131.97,165949.49
