d_most_recent_category,total,percentage
6_industrial_products_and_services,2367405.72,0.4079
11_defence,1749150.47,0.3014
1_facilities_and_construction,1489285.07,0.2566
3_information_technology,186345.28,0.0321
4_medical,11554.25,0.002
